date,ygap_hp,pgdp,ffr,lpcom,rr_3,mp1_tc,ad,mar_svariv,bzk_ist_news
1947,,12.566,,,,,,,
1947.25,,12.745,,,,,,,
1947.5,,12.957,,,,,,,
1947.75,,13.276,,,,,,,
1948,,13.379,,,,,,,
1948.25,,13.497,,,,,,,
1948.5,,13.747,,,,,,,
1948.75,,13.789,,,,,,,
1949,,13.717,,,,,,,
1949.25,,13.579,,,,,,,
1949.5,,13.509,,,,,,,
1949.75,,13.518,,,,,,,
1950,,13.49,,,,,,,
1950.25,,13.538,,,,,,,
1950.5,,13.832,,,,,,,
1950.75,,14.09,,,,,,,
1951,,14.596,,,,,,,
1951.25,,14.692,,,,,,,
1951.5,,14.701,,,,,,,
1951.75,,14.869,,,,,,,
1952,,14.863,,,,,,,1.451525788
1952.25,,14.882,,,,,,,1.00026265
1952.5,,15.048,,,,,,,0.983620965
1952.75,,15.091,,,,,,,1.269194308
1953,,15.096,,,,,,,-1.55745362
1953.25,,15.125,,,,,,,-0.424390309
1953.5,,15.188,,,,,,,-0.678089873
1953.75,,15.219,,,,,,,-1.391946819
1954,,15.266,,,,,,,0.824606792
1954.25,,15.281,,,,,,,0.435679108
1954.5,,15.3,1.03,,,,,,1.943923046
1954.75,,15.343,0.99,,,,,,-0.680253021
1955,,15.417,1.35,,,,,,-0.049843965
1955.25,,15.481,1.5,,,,,,-0.344255885
1955.5,,15.59,1.94,,,,,,-1.166046344
1955.75,,15.743,2.36,,,,,,1.750924292
1956,,15.902,2.48,,,,,,-0.089281671
1956.25,,15.997,2.69,,,,,,-0.635350021
1956.5,,16.197,2.81,,,,,,-0.957092848
1956.75,,16.264,2.93,,,,,,-1.157594675
1957,,16.485,2.93,,,,,,0.517833819
1957.25,,16.601,3,,,,,,-0.250931415
1957.5,,16.701,3.23,,,,,,0.052319641
1957.75,,16.711,3.25,,,,,,-2.76563556
1958,,16.892,1.87,,,,,,-1.902548934
1958.25,,16.94,0.94,,,,,,1.952958403
1958.5,,17.043,1.32,,,,,,1.414895124
1958.75,,17.123,2.16,,,,,,0.803611868
1959,,17.169,2.58,4.607473627,,,,,-0.270410216
1959.25,,17.194,3.08,4.636562628,,,,,0.156606132
1959.5,,17.258,3.57,4.623370106,,,,,-1.914293452
1959.75,,17.326,3.99,4.606841697,,,,,0.272404927
1960,,17.397,3.93,4.596798897,,,,,0.226632007
1960.25,,17.443,3.7,4.614125967,,,,,1.420467395
1960.5,,17.506,2.94,4.605370943,,,,,-1.252981686
1960.75,,17.56,2.3,4.578822812,,,,,-1.446722238
1961,,17.598,1.99,4.600801433,,,,,0.752816524
1961.25,,17.641,1.73,4.614616364,,,,,-0.030747746
1961.5,,17.687,1.68,4.60092499,,,,,-0.1701923
1961.75,,17.745,2.4,4.590186046,,,,,0.702695669
1962,,17.837,2.46,4.596120176,,,,,-0.88242796
1962.25,,17.866,2.61,4.56682512,,,,,-0.526725648
1962.5,,17.903,2.85,4.547540759,,,,,-0.759910855
1962.75,,17.938,2.92,4.551732162,,,,,1.53568704
1963,,18.017,2.97,4.552035941,,,,,-0.298129737
1963.25,,18.047,2.96,4.563052194,,,,,-0.319119102
1963.5,,18.069,3.33,4.553616431,,,,,0.43390782
1963.75,,18.216,3.45,4.580013882,,,,,-0.151705759
1964,,18.274,3.46,4.572214841,,,,,1.348467307
1964.25,,18.318,3.49,4.580588285,,,,,1.025092732
1964.5,,18.392,3.46,4.603425581,,,,,0.114346067
1964.75,,18.476,3.58,4.651665565,,,,,-0.798981077
1965,,18.569,3.98,4.650966216,,,,,1.209067128
1965.25,,18.652,4.08,4.673376563,,,,,-0.059415244
1965.5,,18.726,4.08,4.668639123,,,,,0.682760797
1965.75,,18.853,4.17,4.692748063,,,,,1.457722137
1966,,18.975,4.56,4.748404867,,,,,-0.521092948
1966.25,,19.131,4.91,4.734535451,,,,,0.045925372
1966.5,,19.317,5.41,4.723435673,,,,,-0.204470342
1966.75,,19.481,5.56,4.657073927,,,,,0.143911372
1967,,19.562,4.82,4.640274148,,,,,0.745595171
1967.25,,19.661,3.99,4.612234287,,,,,-0.7584733
1967.5,,19.849,3.89,4.591194016,,,,,-0.642056105
1967.75,,20.067,4.17,4.578019347,,,,,-0.771683774
1968,,20.29,4.79,4.590424168,,,,,1.599942936
1968.25,,20.504,5.98,4.57419849,,,,,0.638071489
1968.5,,20.706,5.95,4.562218564,,,,,-0.030787292
1968.75,,20.999,5.92,4.598161279,,,,,-1.141197126
1969,1.626785866,21.217,6.57,4.651519239,-0.2274091,,,,1.211847652
1969.25,1.138910676,21.488,8.33,4.697053859,0.6749188,,,,-0.84644467
1969.5,1.028049591,21.79,8.98,4.725658449,0.4843627,,,,0.083870762
1969.75,-0.212717655,22.071,8.94,4.737448925,0.1658559,,,,-0.252942876
1970,-1.101439588,22.382,8.56,4.758229955,-0.5745371,,,,0.187926688
1970.25,-1.693401842,22.694,7.88,4.745066006,-0.0259718,,,,-0.699436016
1970.5,-1.508211859,22.88,6.71,4.724161177,-0.9256776,,,,-0.662051586
1970.75,-3.319857405,23.182,5.57,4.69235525,-0.5999238,,,,-1.34997626
1971,-1.379094497,23.536,3.86,4.689267731,-0.8935021,,,,1.130200823
1971.25,-1.583875576,23.846,4.57,4.690258994,0.877007,,,,-0.782753697
1971.5,-1.513918331,24.088,5.48,4.682247829,-0.1003367,,,,-0.57972239
1971.75,-2.032101909,24.288,4.75,4.667104888,-1.527481,,,,0.900170846
1972,-0.965418783,24.664,3.55,4.7215107,-0.1236863,,,,-0.720080558
1972.25,0.524933557,24.815,4.3,4.771111104,-0.3411304,,,,0.70575432
1972.5,0.716414832,25.048,4.74,4.797092112,-0.111762,,,,1.036908467
1972.75,1.637777318,25.366,5.15,4.845123681,-0.05911,,,,1.07111282
1973,3.355715395,25.661,6.54,4.957860703,0.5286473,,,,-1.677117868
1973.25,3.726442425,26.052,7.82,5.085078039,0.5815276,,,,-0.547303126
1973.5,2.501938826,26.549,10.56,5.271682301,-0.2387917,,,,-0.130133577
1973.75,2.762095127,27.077,10,5.278433304,-1.189948,,,,-0.100749729
1974,1.222870629,27.592,9.33,5.420292819,0.7318664,,,,-2.233453749
1974.25,0.787876679,28.248,11.25,5.418767753,0.9913459,,,,-0.995696656
1974.5,-0.8370492,29.067,12.1,5.464275518,-0.6221972,,,,-1.115452759
1974.75,-1.910905188,29.923,9.34,5.411663234,-0.3070521,,,,-1.050370832
1975,-3.836527786,30.601,6.31,5.307538,-0.6043138,,,,-0.227561366
1975.25,-3.846306282,31.059,5.42,5.269107679,-0.2432384,,,,1.861880222
1975.5,-2.894481665,31.612,6.16,5.310388145,-0.192966,,,,-0.105779483
1975.75,-2.326110354,32.139,5.41,5.268699153,-0.2928912,,,,-0.905436444
1976,-0.89364038,32.473,4.83,5.263740661,-0.8150342,,,,1.1118836
